end_date,n_assets,mean_corr,lambda_max,spectral_entropy,mst_total_length,mst_max_degree_norm,mst_degree_gini,cluster_stability_nmi
2015-04-02,411,0.478285347149009,210.62340771643562,0.3389949458759981,217.53938778527063,0.02195121951219512,0.31214764702391556,0.4274150424716856
2015-04-10,411,0.39654872849347256,178.2270803695555,0.37588990621884216,238.4055215655882,0.01951219512195122,0.30695507685003864,0.34157792841393786
2015-04-17,411,0.35840099732641484,162.1149169440926,0.39321951357303525,248.71647476212323,0.02195121951219512,0.3180642098391787,0.3140129062751643
2015-04-24,411,0.24824034928462874,120.70432209323297,0.4280860118393293,269.33255897309914,0.01951219512195122,0.3110675924277492,0.18538449355076927
2015-05-01,411,0.23795752013287852,117.19365022809083,0.4295520849233405,264.8269216263656,0.01707317073170732,0.2984451961307935,0.2382162317669369
2015-05-08,411,0.3033216483406772,143.98635860211186,0.40968689273683695,255.1362065086227,0.036585365853658534,0.30977390065871463,0.38140854443913497
2015-05-15,411,0.29035796792219826,141.67020363810997,0.41226825007664947,258.8848829270231,0.01707317073170732,0.2960299092042016,0.4485484786813257
2015-05-22,411,0.31108169518975765,151.80749063335742,0.40290165742181433,255.26244580775878,0.01951219512195122,0.3146578838051154,0.42940818410060255
2015-06-01,411,0.3447593618487748,161.0520110926962,0.395327351121336,252.10517327736213,0.01951219512195122,0.3093406919470654,0.2761122888229536
2015-06-08,411,0.26745071419316324,132.72178821629842,0.41228067563838317,257.82819383829445,0.02195121951219512,0.3143611655094653,0.20787675755603166
2015-06-15,411,0.3061128333179141,149.875031191142,0.39998120731888315,253.4923484337263,0.02195121951219512,0.31662215892231915,0.4055669075455818
2015-06-22,411,0.3662343760064506,172.24952780692132,0.37684407325408004,238.86182833370634,0.03170731707317073,0.3137083852590351,0.2911010439431664
2015-06-29,411,0.4182175765278059,190.93360500437035,0.35642301718895364,224.59285313229728,0.024390243902439025,0.31275888671295476,0.29031853201903096
2015-07-07,411,0.43008201836918164,194.87894328673775,0.3552383421209439,226.1609593259675,0.01707317073170732,0.3155183668625008,0.28574507968824026
2015-07-14,411,0.462819866019319,206.58356035871185,0.3402334662010747,214.55624615372685,0.02195121951219512,0.31204082843748143,0.2841750575948793
2015-07-21,411,0.42354785489056374,190.34912292403948,0.3597365217296925,225.51039363485884,0.01951219512195122,0.3059818408403062,0.28843278981290305
2015-07-28,411,0.3299193638439614,151.9122384505598,0.3943418268746353,243.10739876284916,0.02195121951219512,0.31753605127292145,0.3381026118847624
2015-08-04,411,0.2879978258061741,136.23144269138743,0.41153113743875325,253.18418697927405,0.026829268292682926,0.2982790338852293,0.5275889524753286
2015-08-11,411,0.20383191418786395,111.59375583707805,0.4342242004954078,262.6893124334996,0.014634146341463415,0.2847902201649754,0.45417174249118997
2015-08-18,411,0.19999647545197458,115.6617281870418,0.4290682277841171,261.3817487833829,0.014634146341463415,0.2985104741558364,0.6153481693195362
2015-08-25,411,0.5389425272211052,233.4396743703992,0.3088056252436816,193.255792413451,0.03170731707317073,0.30338852293632423,0.27108960533783955
2015-09-01,411,0.6738700088596936,284.4479048650106,0.24050762803603878,160.0913749413796,0.02926829268292683,0.3187525962850869,0.4704861480711533
2015-09-09,411,0.7435114237787003,310.3478556725202,0.20252303697277124,146.67289731683474,0.024390243902439025,0.316082131624236,0.6992555867613516
2015-09-16,411,0.7572939593390253,315.2477490589446,0.19502698700921517,143.74665939452007,0.02195121951219512,0.32678772773129194,0.5223368747584443
2015-09-23,411,0.6875377494260142,288.37911434668183,0.2359726289992312,164.29714785869336,0.02195121951219512,0.32589163847842856,0.5339996687185273
2015-09-30,411,0.5839480538010806,246.8644413460092,0.293189955027013,190.88968324121464,0.01951219512195122,0.3095958696813246,0.46761061196146264
2015-10-07,411,0.4822306774320882,207.3157748703887,0.3385003397436935,215.08995217767574,0.02195121951219512,0.311037920598184,0.3202882737388549
2015-10-14,411,0.4586698615436854,199.050489823639,0.3471650869259445,216.94483535016565,0.024390243902439025,0.31100824876861904,0.31064202586151635
2015-10-21,411,0.41299794609241947,181.53141239457415,0.3690369841895658,228.99940364834185,0.01951219512195122,0.3070144205091686,0.3891942238285145
2015-10-28,411,0.26794035112276593,130.75190538568899,0.4099797714929035,248.10789956380555,0.01951219512195122,0.2951516230490772,0.1800113743519276
2015-11-04,411,0.2066130666711735,112.69444735482813,0.4279835081856524,262.10454174324934,0.01951219512195122,0.29207168714022913,0.4152034358638905
2015-11-11,411,0.181075395762703,99.79024142268113,0.4340498598757677,261.3490672987371,0.01951219512195122,0.30367337250014836,0.4369144235148209
2015-11-18,411,0.26790763285867153,132.86058932443692,0.40906867733751495,245.75720501351168,0.01707317073170732,0.30316301703163023,0.47560216022046914
2015-11-25,411,0.2659106829380774,129.13034747759576,0.41612540678755117,252.59689233419934,0.02195121951219512,0.3039048127707554,0.19738157021116265
2015-12-03,411,0.34681145764605475,161.38360724585692,0.38492674568135654,236.29334232928505,0.01951219512195122,0.28921725713607505,0.3296012923418291
2015-12-10,411,0.41899591956746274,192.52971063169588,0.35851104973134673,227.33312235029982,0.01951219512195122,0.2970090795798469,0.45377624136482836
2015-12-17,411,0.40559120870917525,186.242549306973,0.36563450057394276,230.30786661139553,0.01707317073170732,0.3011868731826005,0.2237291299058323
2015-12-24,411,0.47772754116806543,211.792433590624,0.33568868478317826,216.11019289110607,0.01951219512195122,0.30969081953593264,0.30690946653706497
2016-01-04,411,0.4939605439075277,219.5787313992825,0.32193213713764324,207.84090625937924,0.02195121951219512,0.31481217731885347,0.35672022475049125
2016-01-11,411,0.5091026396993625,222.8110778984847,0.32012381936802325,208.3835635681999,0.02195121951219512,0.31382113821138213,0.34381630228393917
2016-01-19,411,0.5079149193884747,223.1199827120597,0.3177482020736529,207.9114957894708,0.01951219512195122,0.31388048187051215,0.22624204203907447
2016-01-26,411,0.4989480649762163,218.3458387998399,0.3241330212183897,212.31324794419814,0.02195121951219512,0.32368998872470484,0.2646996912404505
2016-02-02,411,0.4926440249041985,215.30281973422132,0.3342510852614327,218.797268523092,0.024390243902439025,0.3275591952999822,0.6977643690157725
2016-02-09,411,0.42505113091419816,188.15706257250383,0.3622375367766913,230.67024606279358,0.02926829268292683,0.3199632069313394,0.4968127166627128
2016-02-17,411,0.4093649251344529,181.95196656122306,0.3674514435675809,231.36341887863975,0.02195121951219512,0.3079401815915969,0.41329607354125536
2016-02-24,411,0.3732322087526296,171.6871489176636,0.3764853752998651,235.10457001215494,0.01707317073170732,0.2996676755088719,0.2970316671052941
2016-03-02,411,0.3489769615751212,167.01506879756568,0.37798410365486657,234.78413207526927,0.026829268292682926,0.30389887840484237,0.4925791545590596
